demo0001	यह नीला फर्श है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0527	कक्षा में चित्र है।	ᱠᱞᱟᱥ ᱨᱮ ᱪᱤᱛᱟᱹᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0528	यह घंटी अच्छा है।	ᱱᱚᱣᱟ ᱜᱷᱟᱱᱴᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0529	कक्षा में कहानी है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱟᱹᱦᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0530	यह अच्छा चित्र है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0531	मेरे पास कविता है।	ᱤᱧ ᱴᱷᱮᱱ ᱚᱱᱚᱬᱦᱮ ᱢᱮᱱᱟᱜᱼᱟ।
demo0532	यह नीला ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0533	शिक्षक ने विज्ञान दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱥᱟᱬᱮᱥ ᱮᱢ ᱠᱮᱫᱟ।
demo0534	यह छोटा डस्टर है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0535	यह एक मेज़ है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0536	शिक्षक ने मेज़ दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱴᱮᱵᱩᱞ ᱮᱢ ᱠᱮᱫᱟ।
demo0537	यह लाल परीक्षा है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0538	शिक्षक ने कलम दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱟᱞᱟᱢ ᱮᱢ ᱠᱮᱫᱟ।
demo0539	शिक्षक ने घड़ी दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱜᱷᱟᱲᱤ ᱮᱢ ᱠᱮᱫᱟ।
demo0540	कक्षा में दरवाज़ा है।	ᱠᱞᱟᱥ ᱨᱮ ᱫᱩᱣᱟᱹᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0541	कक्षा में मैदान है।	ᱠᱞᱟᱥ ᱨᱮ ᱢᱟᱭᱫᱟᱱ ᱢᱮᱱᱟᱜᱼᱟ।
demo0542	यह कहानी अच्छा है।	ᱱᱚᱣᱟ ᱠᱟᱹᱦᱱᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0543	यह एक अक्षर है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0544	यह अच्छा घंटी है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0545	यह नीला भूगोल है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0546	यह छोटा घंटी है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0547	यह पेंसिल अच्छा है।	ᱱᱚᱣᱟ ᱯᱮᱱᱥᱤᱞ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0548	कक्षा में घंटी है।	ᱠᱞᱟᱥ ᱨᱮ ᱜᱷᱟᱱᱴᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0549	शिक्षक ने कुर्सी दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱩᱨᱥᱤ ᱮᱢ ᱠᱮᱫᱟ।
demo0550	विद्यालय में फर्श है।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱚᱛ ᱢᱮᱱᱟᱜᱼᱟ।
demo0551	वह एक इतिहास है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0552	यह अच्छा कहानी है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0553	मेरे पास घंटी है।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱷᱟᱱᱴᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0554	यह एक गणित है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0555	यह छोटा पेंसिल है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0556	यह छोटा चित्र है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0557	यह एक इतिहास है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0558	मेरे पास पेंसिल है।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0559	यह सफ़ेद अभ्यास है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0560	यह एक अध्यापक है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0561	शिक्षक ने गणित दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱮᱞᱠᱷᱟ ᱮᱢ ᱠᱮᱫᱟ।
demo0562	मेरे पास अध्याय है।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱫᱷᱭᱟᱭ ᱢᱮᱱᱟᱜᱼᱟ।
demo0563	शिक्षक ने अक्षर दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱚᱠᱷᱚᱨ ᱮᱢ ᱠᱮᱫᱟ।
demo0564	वह एक नक्शा है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0565	वह एक गणित है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0566	यह काला अभ्यास है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0567	यह छोटा अध्याय है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0568	यह एक शिक्षक है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0569	परीक्षा कहाँ है?	ᱯᱚᱨᱤᱠᱷᱭᱟ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0570	यह एक किताब है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0571	मेरे पास दरवाज़ा है।	ᱤᱧ ᱴᱷᱮᱱ ᱫᱩᱣᱟᱹᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0572	यह लाल ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0573	यह अच्छा अध्याय है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0574	यह एक कुर्सी है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0575	यह छोटा मैदान है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0576	वह एक कलम है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0577	यह अच्छा मैदान है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0578	मेरे पास चित्र है।	ᱤᱧ ᱴᱷᱮᱱ ᱪᱤᱛᱟᱹᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0579	यह अच्छा पेंसिल है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0580	यह दरवाज़ा अच्छा है।	ᱱᱚᱣᱟ ᱫᱩᱣᱟᱹᱨ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0581	यह पीला भूगोल है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0582	वह एक मेज़ है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0583	यह अध्याय अच्छा है।	ᱱᱚᱣᱟ ᱟᱫᱷᱭᱟᱭ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0584	यह नीला परीक्षा है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0585	मेरे पास मैदान है।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱟᱭᱫᱟᱱ ᱢᱮᱱᱟᱜᱼᱟ।
demo0586	वह एक विज्ञान है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0587	मेरे पास कहानी है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱟᱹᱦᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0588	मेरे पास काग़ज़ है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱟᱜᱚᱡᱽ ᱢᱮᱱᱟᱜᱼᱟ।
demo0589	वह एक कुर्सी है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0590	यह एक विज्ञान है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0591	वह एक किताब है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0592	कक्षा में अध्याय है।	ᱠᱞᱟᱥ ᱨᱮ ᱟᱫᱷᱭᱟᱭ ᱢᱮᱱᱟᱜᱼᱟ।
demo0593	यह हरा अभ्यास है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0594	यह छोटा कहानी है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0595	वह एक दीवार है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0596	यह लाल भूगोल है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0597	यह अच्छा खिड़की है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0598	यह एक शब्द है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0599	शिक्षक ने शब्द दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱥᱚᱵᱚᱫ ᱮᱢ ᱠᱮᱫᱟ।
demo0600	यह एक नक्शा है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0601	भूगोल कहाँ है?	ᱚᱛ ᱥᱟᱬᱮᱥ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0602	वह एक घड़ी है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0603	छात्र कहाँ है?	ᱯᱟᱹᱴᱷ⵩ᱣᱟᱹ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0604	यह नया ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0605	यह पुराना ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0606	वह एक कविता है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0607	यह एक कहानी है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0608	वह एक पेंसिल है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0609	यह नीला छात्र है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱟᱹᱴᱷ⵩ᱣᱟᱹ ᱠᱟᱱᱟ।
demo0610	शिक्षक ने घंटी दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱜᱷᱟᱱᱴᱤ ᱮᱢ ᱠᱮᱫᱟ।
demo0611	यह काला भूगोल है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0612	छात्र कहाँ है?	ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0613	शिक्षक ने अध्याय दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱟᱫᱷᱭᱟᱭ ᱮᱢ ᱠᱮᱫᱟ।
demo0614	वह एक अध्याय है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0615	यह बड़ा फर्श है।	ᱱᱚᱣᱟ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱚᱛ ᱠᱟᱱᱟ।
demo0616	शिक्षक ने कविता दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱚᱱᱚᱬᱦᱮ ᱮᱢ ᱠᱮᱫᱟ।
demo0617	यह काला ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0618	यह छोटा अभ्यास है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0619	यह सफ़ेद ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0620	विद्यालय में चॉक है।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱪᱟᱠ ᱢᱮᱱᱟᱜᱼᱟ।
demo0621	यह लाल विद्यार्थी है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟ।
demo0622	वह एक दरवाज़ा है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0623	यह मेरा चॉक है।	ᱱᱚᱣᱟ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0624	कक्षा में अभ्यास है।	ᱠᱞᱟᱥ ᱨᱮ ᱟᱹᱵᱷᱭᱟᱥ ᱢᱮᱱᱟᱜᱼᱟ।
demo0625	यह नीला कंप्यूटर है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱚᱢᱯᱭᱩᱴᱟᱨ ᱠᱟᱱᱟ।
demo0626	यह एक मैदान है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0627	यह हरा ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0628	यह पीला छात्र है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟ।
demo0629	शिक्षक ने कहानी दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱟᱹᱦᱱᱤ ᱮᱢ ᱠᱮᱫᱟ।
demo0630	यह नया भूगोल है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0631	यह नीला छात्र है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟ।
demo0632	यह एक खिड़की है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0633	यह एक दरवाज़ा है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0634	यह एक काग़ज़ है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0635	यह नया परीक्षा है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0636	वह एक डस्टर है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0637	छात्र फर्श पढ़ रहा है।	ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱚᱛ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ।
demo0638	वह एक चित्र है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0639	यह पुराना भूगोल है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0640	यह पीला छात्र है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱟᱹᱴᱷ⵩ᱣᱟᱹ ᱠᱟᱱᱟ।
demo0641	यह सफ़ेद भूगोल है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0642	शिक्षक ने दरवाज़ा दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱫᱩᱣᱟᱹᱨ ᱮᱢ ᱠᱮᱫᱟ।
demo0643	यह नीला प्रार्थना है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱨᱟᱨᱛᱷᱚᱱᱟ ᱠᱟᱱᱟ।
demo0644	यह अच्छा अभ्यास है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0645	शिक्षक ने पेंसिल दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱯᱮᱱᱥᱤᱞ ᱮᱢ ᱠᱮᱫᱟ।
demo0646	यह पीला कंप्यूटर है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱚᱢᱯᱭᱩᱴᱟᱨ ᱠᱟᱱᱟ।
demo0647	यह पुराना परीक्षा है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0648	मेरे पास अभ्यास है।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱹᱵᱷᱭᱟᱥ ᱢᱮᱱᱟᱜᱼᱟ।
demo0649	शिक्षक ने खिड़की दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱡᱷᱚᱨᱠᱟ ᱮᱢ ᱠᱮᱫᱟ।
demo0650	यह एक डस्टर है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0651	यह हरा परीक्षा है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0652	यह मेरा पेन है।	ᱱᱚᱣᱟ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0653	वह एक घंटी है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0654	यह लाल प्रार्थना है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱨᱟᱨᱛᱷᱚᱱᱟ ᱠᱟᱱᱟ।
demo0655	यह लाल कंप्यूटर है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱚᱢᱯᱭᱩᱴᱟᱨ ᱠᱟᱱᱟ।
demo0656	यह लाल छात्र है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱟᱹᱴᱷ⵩ᱣᱟᱹ ᱠᱟᱱᱟ।
demo0657	वह एक खिड़की है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0658	प्रार्थना कहाँ है?	ᱯᱨᱟᱨᱛᱷᱚᱱᱟ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0659	यह एक घंटी है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0660	यह हरा भूगोल है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱚᱛ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0661	यह एक चित्र है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0662	यह एक अध्याय है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0663	यह पीला प्रार्थना है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱨᱟᱨᱛᱷᱚᱱᱟ ᱠᱟᱱᱟ।
demo0664	यह एक कविता है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0665	शिक्षक ने मैदान दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱢᱟᱭᱫᱟᱱ ᱮᱢ ᱠᱮᱫᱟ।
demo0666	कंप्यूटर कहाँ है?	ᱠᱚᱢᱯᱭᱩᱴᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0667	शिक्षक ने काग़ज़ दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱟᱜᱚᱡᱽ ᱮᱢ ᱠᱮᱫᱟ।
demo0668	यह अभ्यास अच्छा है।	ᱱᱚᱣᱟ ᱟᱹᱵᱷᱭᱟᱥ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0669	शिक्षक ने डस्टर दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱰᱟᱥᱴᱟᱨ ᱮᱢ ᱠᱮᱫᱟ।
demo0670	यह एक पेंसिल है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0671	वह एक मैदान है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0672	वह एक काग़ज़ है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0673	यह काला परीक्षा है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0674	विद्यालय में पेन है।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ।
demo0675	शिक्षक ने चित्र दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱪᱤᱛᱟᱹᱨ ᱮᱢ ᱠᱮᱫᱟ।
demo0676	वह एक कहानी है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0677	यह सफ़ेद परीक्षा है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0678	मेरे पास ब्लैकबोर्ड है।	ᱤᱧ ᱴᱷᱮᱱ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜᱼᱟ।
demo0679	यह नीला पुस्तकालय है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱩᱛᱷᱤ ᱚᱲᱟᱜ ᱠᱟᱱᱟ।
demo0680	विद्यालय में पाठ है।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱟᱴᱷ ᱢᱮᱱᱟᱜᱼᱟ।
demo0681	शिक्षक ने अभ्यास दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱟᱹᱵᱷᱭᱟᱥ ᱮᱢ ᱠᱮᱫᱟ।
demo0682	यह काला कंप्यूटर है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱚᱢᱯᱭᱩᱴᱟᱨ ᱠᱟᱱᱟ।
demo0683	मैं पेन लिखना पसंद करता हूँ।	ᱤᱧ ᱯᱮᱱ ᱚᱞ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ।
demo0684	यह पीला गृहकार्य है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱜᱤᱨᱮ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ।
